Date_Time,Date,Time,Temp,SpCond,Sal,Raw Depth,Depth Corrected BIN,pH,Turbid+,Fluorescent Chl,Chl Corrected,ODOsat,ODO
6/1/2020 14:45,6/1/2020,2:45:21 PM,25.81,26060.27778,15.9,0.047,0,9.77,11.6,7.4,12.97418,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,25.71,26076.51852,15.91,0.163,0.1,9.62,12.9,10.1,16.47527,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,25.29,26183.88372,15.99,0.265,0.2,9.49,14.3,15.3,23.21811,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.95,26210.71429,16.01,0.357,0.3,9.38,15.2,19.4,28.53458,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.69,26234.64516,16.03,0.457,0.4,9.29,15.8,23.7,34.11039,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.62,26113.58621,15.95,0.55,0.5,9.21,15.8,26.8,38.13016,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.53,26122.2381,15.96,0.658,0.6,9.15,16.3,27.5,39.03785,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.46,26102.76191,15.95,0.767,0.7,9.09,16.7,30,42.2796,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.4,26100.16667,15.95,0.854,0.8,9.02,16.7,30.4,42.79828,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.32,26115.34615,15.96,0.96,0.9,8.97,16.9,31.2,43.83564,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.29,26120.47619,15.96,1.055,1,8.93,17,32.7,45.78069,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.26,26115.85714,15.96,1.157,1.1,8.9,17.7,32.3,45.26201,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.22,26119.57143,15.96,1.264,1.2,8.86,18.7,31.3,43.96531,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.19,26121.55556,15.97,1.352,1.3,8.84,21.4,28.2,39.94554,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.16,26126.6,15.97,1.461,1.4,8.82,23.1,25.4,36.31478,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.14,26131.81818,15.97,1.552,1.5,8.8,23.8,23.8,34.24006,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,24.11,26138.8,15.98,1.656,1.6,8.79,25.8,21.9,31.77633,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 14:45,6/1/2020,2:45:21 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.52,25580,15.57,-0.106,0,8.17,20.3,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,23.54,22719.66667,13.83,-0.009,0.1,7.25,18.3,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.45,25555.4,15.55,0.084,0.2,8.15,20.7,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.44,25554,15.55,0.196,0.3,8.14,20.9,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.43,25552.16667,15.55,0.298,0.4,8.14,21.1,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.41,25549.33333,15.55,0.404,0.5,8.13,21.3,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.4,25547.66667,15.55,0.496,0.6,8.12,21.6,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.39,25544.66667,15.55,0.597,0.7,8.12,22.2,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.38,25544.16667,15.55,0.699,0.8,8.11,22.8,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.38,25542.75,15.54,0.803,0.9,8.11,23.6,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.34,25545.33333,15.55,0.921,1,8.08,26.6,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/5/2020 14:48,6/5/2020,2:48:33 PM,28.11,24.573333,14.87,0.039,0,NaN,26,18.8,27.75656,103.9,7.47
6/5/2020 14:48,6/5/2020,2:48:33 PM,28.13,24.578421,14.87,0.161,0.1,NaN,26.6,19,28.0159,104.2,7.49
6/5/2020 14:48,6/5/2020,2:48:33 PM,28.13,24.58,14.88,0.254,0.2,NaN,27.3,18.6,27.49722,105.3,7.57
6/5/2020 14:48,6/5/2020,2:48:33 PM,28.13,24.582353,14.88,0.354,0.3,NaN,27.7,19,28.0159,106.1,7.63
6/5/2020 14:48,6/5/2020,2:48:33 PM,28.12,24.59,14.88,0.458,0.4,NaN,27.5,19.1,28.14557,105.3,7.57
